jawaban_mahasiswa,id_jawaban_dosen,human_rater,human_rater_scaled
hibernate perintah untuk memberhentikan komputer untuk beroperasi file program ditutup disimpan hardisk komputer,2,70,0.7
hibernate memiliki kesamaan sleep daya dimatikan perbedaannya berada dokumen disimpan sleep operasi dihentikan hibernate dokumen disimpan harddisk dinyalakan kembali dokumen digunakan kembali,2,70,0.7
hibernate salah satu fitur terdapat komputer dimana fitur menggabungkan shut down sleep hibernate mematikan komputer menghilangkan keadaan komputer menyala komputer hibernate komputer otomatis menyimpan keadaan pc file aplikasi dijalankan hard disk,2,70,0.7
mode dimana pc tetap masuk kedalam mode low power mode dimana hdd storage device menyimpan pekerjaan dikerjakan pc secara,2,70,0.7
kondisi hibernate komputer kondisi dimana komputer keadaan mati sepenuhnya data disimpan rom hard disk dinyalakan kembali data hilang,2,70,0.7
hibernate kondisi pc mematikan proses dilakukan hidupkan kembali membutuhkan waktu singkat,2,60,0.6
hibernate kondisi dimana pc beroperasi mati operasi jalankan dijeda disimpan pc dinyalakan kembali,2,60,0.6
hibernate berbeda sleep dimana sleep kondisi laptop dibuat menjadi keadaan rendah power pc menyimpan data data word excel komputer dibuat keadaan sleep hibernate membuat kondisi komputer sleep kondisi rendah power pc menyimpan data data dikerjakan pc,2,50,0.5
kondisi mematikan daya komputer menyimpan kondisi hibernate state,2,50,0.5
hibernate berarti pc melakukan power down untuk menghemat pemakaian daya pengguna kehilangan data proses berlangsung,2,50,0.5
hibernate salah satu mode power off windows bertujuan untuk mematikan komputer menyimpan state komputer dimatikan untuk dilanjutkan power dinyalakan kembali windows 10 fitur muncul secara default diatur ditampilkan mode power,2,50,0.5
hibernate kondisi dimana power diputus komponen pc kegiatan disimpan hardisk,2,50,0.5
mengistirahatkan laptop shutdown,2,40,0.4
mengurangi penggunaan listrik menympan state terakhir komputer memori,2,40,0.4
model komputer arsitektural von neuman diterapkan menggunakan bagian arithmatic logic unit control memory input output model komputer atas input cpu output cpu terdapat control unit alu untuk fungsi aritmatika,3,100,1
von neumann model komputer komponen komponen penyusunnya menyerupai komputer modern berlaku input unit menuju processing unit dimana dalamnya terdapat memory unit alu dilanjutkan output unit model von neumann menjadi model dipelajari materi hardware komputer,3,100,1
nama model von neumann diambil penciptanya bernama john von neumann model atas 4 sistem secara garis besar input cpu memory output cpu terbagi menjadi dua alu unit control input cpu output memory input masukan perintah diolah output hasil input diolah sistem cpu alu arithmatic logic unit sistem mengatur perhitungan aritmatika didalamnya terdapat aljabar boolean unit control sistem mempermudah cpu karna sistem meng handle kerja perangkat keras terpakai mengatur input masuk output keluar mengatur mekanisme pengambilan data memory memory sistem penyimpanan digunakan untuk memproses data cpu,3,100,1
menurut von neumann komputer 4 buah bagian memori untuk menyimpan data control unit untuk mengatur proses i o alu untuk mengolah data berdasarkan proses aritmatik logika i o berfungsi data masukan keluaran komponen dihubungkan jalur data bus,3,100,1
model von neumann menggambarkan komputer empat bagian utama aritmatika logic unit alu unit control memory input output keempat unit dihubungkan rangkaian kawat bus,3,100,1
komputer model von neumann menggambarkan komputer 4 bagian utama unit aritmatika logis alu unit kontrol unit memori alat untuk memasukan menampilkan hasil proses i o devices komputer von neumann mempunyai 3 blok bangunan utama cpu memori input output cara kerja main memory komputer menyimpan data program bus digunakan untuk men transfer data alamat mengontrol signal baik memori perangkat setalah control unit mengankap instruksi instruksi dikirimkan mengeksekusinya alu arithmetical logic unit berfungsi untuk melakukan operasi dasar matematika penjumlahan pengurangan proses terdapat i o devices dimana input devices berfungsi untuk mengirimkan data data diproses manusia mekanisme proses output devices menampilkan hasilnya bentuk dimengerti manusia,3,100,1
model komputer von neumann diterapkan bagian arithmatic logic unit kontrol memori input output model komputer input cpu output cpu terdapat control unit alu cpu untuk melakukan fungsi aritmatika,3,100,1
von neumann arsitektur komputer dijumpai memiliki 3 komponen utama memori perangkat input output i o cpu central processing unit memori komponen untuk menyimpan data perangkat i o berguna untuk memberikan masukan perintah keyboard menerima hasil monitor untuk menampilkan gambar cpu memiliki 2 sub komponen control unit cu arithmetic logic unit alu cu berguna untuk memberikan perintah untuk transfer transfer data baik cpu memori perangkat i o untuk memasuki slot terakhir alu berfungsi untuk melakukan perhitungan komputer memiliki slot terdapat akumulator untuk memproses,3,100,1
arsitektur dibuat neumann dipakai terdapat 4 bagian utama arsitektur unit aritmetika logis alu unit kontrol memori alat masukan hasil secara kolektif dinamakan i o keempat bagian disebutkan dihubungkan bus berkas kawat arsitektur hadir guna untuk memperbaiki konsep arsitektur eniac utama hadir perbaiki konsep penyimpanan program secara teknis keempat bagian utama arsitektur mempunyai fungsi memori utama menyimpan data instruksi unit aritmetika logis alu mengolah data biner unit kontrol melakukan interpretasi instruksi instruksi memori eksekusi instruksi input output melakukan interaksi lingkungan luar,3,100,1
von neuman arsitektur komputer arsitekturnya digunnakan memori input output cpu cu alu,3,90,0.9
komputer aritmathic logical unit control unit memory untuk menyimpan data,3,90,0.9
arsitektur von neumann arsitektur komputer menempatkan program rom read only memory data ram random access memory peta memori arsitektur memiliki address data bus tunggal untuk mengalamati program data arsitektur von neumann mesin von neumann arsitektur diciptakan john von neumann tahun 1903 1957 komputer menggunakan arsitektur buatan john von neumann arsitektur von neumann menggambarkan komputer empat bagian utama unit aritmatika logis alu unit kontrol cu memori alat masukan i o,3,90,0.9
komputer model von neumann komputer menggunakan empat bagian utama alu unit control memori alat input output,3,90,0.9
arsitektur von neumann menggambarkan komputer empat bagian utama unit aritmatika logis alu bagian unit kontrol cpu media penyimpanan memory alat masukan input hasil keluaran output secara kolektif dinamakan i o arsitektur komputer awalnya digunakan untuk membuat super komputer menggabungkan komputer processor menjadi satu untuk mensimulasikan rumit,3,90,0.9
arsitektur komputer diciptakan john von neumman digunakan komputer isinya memory unit control unit aritmetic logic unit input output,3,90,0.9
terdapat empat bagian utama alu arithmatic logical unit protocol unit memory devices untuk input output komputer generasi pertama dibuat tahun 1940 an akhir 1950 an awal,3,90,0.9
komputer model von neumann arsitektur komputer mempatkan program data peta komputer menggunakan bus tunggal untuk mengamati program instruksi komputer 4 bagian utama alu cu memory input output,3,90,0.9
komputer model von neumann arsitektur komputer memori cpu cu control unit alu arithmetical logical unit input output,3,90,0.9
komputer model von neumann komputer memiliki arsitektur dimana letak ram rom berada memori model komputer memiliki address data bus tunggal untuk mengalamatkan program bagian komputer atas cpu memory input output komponen komponen terhubung bus,3,90,0.9
model arsitektur diciptakan untuk menggambarkan komputer empat bagian unit aritmatika logic unit alu unit kontrol memori input output keempat unit dihubungkan berkas kawat bus,3,90,0.9
komputer von neumann memiliki program tertanamkan komputer komputer main memory menyimpan data program pengoperasian algorithm and logic unit alu data biner control unit cu menginterpretasikan instruksi memori eksekusi peralatan input output dioperasikan cu struktur komputer model von neumann main memori alu cu input output,3,90,0.9
von neumann menggambarkan komputer empat bagian utama unit aritmatika logis alu unit kontrol memori alat masukan hasil secara kolektif dinamakan i o,3,90,0.9
komputer von neumann jenis komputer empat bagian utama unit aritmatika logis alu unit kontrol memori alat masukan bagian dihubungkan bus komputer jenis digunakan ragam komputer jaman,3,90,0.9
komputer von neumann membagi menjadi 4 bagian utama alu unit kontrol memory i o,3,90,0.9
model van neumann menggambarkan komputer dibagi 4 bagian utama keempat bagian dihubungkan kawat bus alu arithmatic logic unit unit control memory input output,3,90,0.9
komputer von neumann terdapat 4 bagian unit aritmatika logis alu bagian unit kontrol pemroses cpu tempat pemroses instruksi program alu perhitungan airmatika control unit mengatur mengendalikan peralatan sistem komputer media penyimpanan memory untuk penyimpanan data ram data disimpan hilang dialiri listrik rom data hilang aliran listrik mauskan input media untuk memasukan data processor untuk proses untuk menghasilkan informasi dibutuhkan keluaran output menampilkan informasi pengguna hasil pemrosesan dilakukan komputer,3,90,0.9
komputer model von neuman arsitektur komputer diciptakan von neumann arsitektur komputer 4 bagian utama aritmetika logis alu kontrol unit memori input output,3,90,0.9
komputer model pertama menjadi pedoman modern architecture dimana mengerjakan program tersimpan didalamnya atas cpu control unit logic unit memory input output device,3,90,0.9
komputer model von neumann komputer dibuat tahun 1945 konsep komputer von neumann digunakan struktur komputer empat bagian unit pemrosesan berisi alu register prosesor unit kontrol berisi program counter instruction register memori untuk penyimpanan input output,3,90,0.9
komputer von neumann komputer pertama dibuat john von neumann tahun 1945 komputer empat komponen prosesor memori input output,3,90,0.9
komputer von neumann komputer ditemukan von neumann memiliki cara kerja berikut input control unit alu output bagian control unit alu terdapat proses untuk load data menyimpan data storage,3,80,0.8
model von neumann salah satu arsitektur komputer diciptakan von neumann didalamnya terdapat memori alu control unit input output,3,80,0.8
komputer memiliki processing unit memory input ouput,3,80,0.8
komputer memiliki arsitektur komponen processing unit control unit penyimpanan data mekanisme input output,3,80,0.8
komputer model von neumann komputer generasi pertama memori alu input output,3,80,0.8
komputer besar menggunakan unit kontrol unit penghitung unit memori untuk input mengeluarkan output,3,70,0.7
komputer model von neumann arsitektur komputer umum dipakai dimana input cpu output,3,70,0.7
komputer model von neumann arsitektur komputer von neumann arsitektur diciptakan john von neumann arsitektur komputer menempatkan program rom read only memory peta memori arsitektur memiliki adress data bus tunggal untuk mengamati program instruksi data,3,60,0.6
komputer model von neumann model komputer dimana didalam sistemnya sistem random access memory nya read only memory nya terdapat peta memory arsitektur terdapat address bus data bus untuk memberikan perintah address ram mengambil mengirimkan data ram rom,3,60,0.6
von neumann architecture is based on the stored program computer concept where instruction data and program data are stored in the same memory this design is still used in most computers produced today,3,60,0.6
komponen elektronika komputer model von neumann terbuat vacuum tube program dibuat menggunakan bahasa pemograman 0 1 program tersimpan memori komputer sifat sifatnya ukurannya besar memerlukan tempat luas memerlukan pendingin mengeluarkan kalor proses relatif lambat kapasitansi untuk menyimpan data,3,40,0.4
dasar perkembangan komputer bagian seperi alu memori io,3,40,0.4
model von neumann model komputer menjadi dasar arsitektur komputer modern,3,40,0.4
von neumann arsitektur komputer pertama kali dibuat sejarah komputer dibuat perang dunia kedua dimana digunakan mesin dibuat alan turing ilmuwan inggris untuk memecahkan kode rahasia milik jerman keberhasilan mesin dibuat turing membuat ilmuan von neumann untuk mengembangkan sistem pemecah kode melakukan komputasi arsitektur register register bagian otak komputer dibuat dibilang efektif,3,30,0.3
turbo boost penambahan komponen cpu untuk mempercepat kinerja sistem komputer aplikasi aplikasi dalamnya berfungsi cepat proses booting keadaan cold boot komputer dimatikan sepenuhnya user langsung menjalankan aplikasi komputer,4,100,1
turbo boost kemampuan processor untuk meningkatkan kecepatan diatas standar processor terjadi processor menjalankan aplikasi berat game browsing satu inti processor bekerja membuat inti beristirahat inti bekeja mendapat daya inti berisitirahat,4,100,1
turbo boost berhubungan clock rate komputer besar clock rate komputer besar kecepatan komputer kecepatan dimaksud kecepatan pengolahan transmisi data komputer turbo boost cara untuk meningkatkan kecepatan clock komputer menjadi kecepatan maksimal pengolahan data cepat,4,100,1
turbo boost aplikasi digunakan untuk men support mempercepat processing processor aplikasi dibuka menggunakan komputer menyebabkan processor kelelahan akibatnya terjadi loading untuk perintah peintah selanjutnya diberikan untuk digunakan turbo boost untuk membantu kerja processor berat melakukan kerja,4,100,1
dimaksud turbo boost perangkat terdapat komputer meningkatkan clock speed komputer tesebut clock speed kecepatan komputer waktunya satuan ghz jadi normalnya komputer memiliki clock speed 2 4 ghz turbo boost nyala clock speed computer naik 2 9 ghz,4,100,1
turbo boost pendukung komputer processor digunakan cepat perangkat tambahan turbo boost,4,100,1
turbo boost pemaksaan pemaksimalan kerja processor menjalankan aplikasi cukup berat single threading application contohnya game turbo boost tergantung kondisi suhu processor bersangkutan,4,100,1
turbo boost kemampuan processor untuk meningkatkan kecepatan data atas rata rata,4,100,1
turbo boost teknologi secara otomatis memungkinkan seuah processor bekerja cepat cara berjalan clock tinggi spesifikasi menjalankan program aplikasi single threading performanya multi threading,4,100,1
turbo boost aplikasi bertujuan untuk mengoptimalkan mem boost kinerja komputer komputer turbo boost bekerja efisien cepat keadaan turbo boost,4,100,1
turbo boost teknologi mengatur menaikan kecepatan clock cpu komputer program turbo boost secara sederhana program meng overclock cpu komputer secara otomatis tergantung dibutuhkannya berbeda sistem overclocking konvensional umumnya program turbo boost terdapat digunakan secara default intel prosesor i5 keatas program turbo boost komputer membutuhkan kecepatan clock cpu besar bermain game program secara otomatis menaikan kecepatan clock cpu cara kerja turbo boost overclock konvensional salah satunya mengatur voltase dimasukan cpu perbedaannya program turbo boost terutama intel turbo boost proses overclocking otomatis menjadi aman resiko cpu rusak program memperhitungkan voltase maksimum dimasukkan berbeda overclocking konvensional dimana mengatur berbagai input cpu terjadi resiko kerusakan besar tahu lakukan,4,100,1
turbo boost cara untuk meningkatkan kapasitas ram beroperasi komputer menjadi cepat untuk bekerja energi dikeluarkan menjadi besar energi komputer menjadi cepat terkuras,4,100,1
turbo boost fitur untuk memaksimalkan kemampuan hardware komputer kata hardware komputer dipaksa bekerja semaksimal dibanding kondisi misal processor kondisi standard bekerja frekuensi 2 4 ghz turbo boost prosesor dimaksimalkan kemampuannya bekerja frekuensi 3 0 ghz giga hertz,4,100,1
turbo boost proses mempercepat frekuensi komputer membuat processing komputer menjadi cepat contoh processor memiliki fsb sebesar 3 0 ghz dipacu menjadi 4 0 ghz cara menaikkan tegangan turbo boost berguna untuk mempercepat proses komputer,4,100,1
turbo boost bagian prosesor digunakan untuk menaikan clock rate komputer membutuhkannya contohnya 2 7 ghz 4 8 ghz,4,100,1
turbo boost aplikasi terdapat komputer menyebabkan processor bekerja cepat clock besar keuntungan turbo boost komputer bekerja cepat melakukan multitasking baik meningkatkan kerja komputer kerugian turbo boost komputer menjadi cepat panas pemakaian listrik menjadi boros processor membutuhkan suplai arus listrik besar,4,100,1
turbo boost kelebihan dimiliki processor quad core multi core turbo boost berfungsi untuk mempercepat pemrosesan pengiriman data komputer turbo boost mensetting clock bekerja secara maksimal cepat prosesor dual core memiliki turbo boost,4,100,1
